"d","DH","oracle"
1,0.851930344693546,0.838622411188603
2,1.0485796239724,1.08047914430266
3,1.0657678674536,1.00923376426507
4,1.07540996491636,0.996343296471057
5,1.13950391826504,1.09284406869359
6,1.16053962258544,1.11827741549047
7,1.21885757539875,1.07953985818466
8,1.20422535383053,1.10889108662073
9,1.17925964187505,1.12116565070491
10,1.12464960769823,1.12455900143694
11,1.10658535083846,1.12455311001902
12,1.13905447901424,1.12638254423531
13,1.13933748032508,1.11899368121465
14,1.12875725454492,1.13447328362148
15,1.09851112324689,1.11409112239116
16,1.11719706270554,1.10126296570241
17,1.12778354142806,1.09663524998661
18,1.12370278550144,1.10687669828463
19,1.11973534412318,1.13581815224264
20,1.12988551474345,1.14999713355439
21,1.13910896243789,1.17694332499137
22,1.1559037780405,1.16653919217805
23,1.17205217306648,1.17368210224969
24,1.20114762091389,1.16973619934925
25,1.20791907180852,1.17627188579593
26,1.23674493028984,1.21600240607687
27,1.26896062848555,1.22950058377945
28,1.29745072473239,1.25873575728724
29,1.33018610323647,1.27546612126756
30,1.34056021132746,1.30207686643032
1,0.863583959258115,0.663054794393935
2,1.05649906391863,0.981108095072689
3,1.0239938365153,1.01746974947907
4,0.973188880415322,1.09168313923076
5,1.00094023198438,1.08232503207562
6,1.05936202780862,1.05855934331472
7,0.984717941743272,1.04953935234394
8,1.05430671521192,1.0463165046828
9,1.09486664862351,1.03106462255347
10,1.09133292470418,1.02505846022439
11,1.08807904600684,1.01855701774034
12,1.06770211277981,1.01807446835433
13,1.04318252073114,1.02923708182786
14,1.0670939125684,1.04636304429941
15,1.09459552388242,1.08073167777437
16,1.08563262633536,1.08849574355478
17,1.06508131575872,1.07272545651118
18,1.11194507933987,1.08390636300524
19,1.10918021407454,1.06750503176326
20,1.12427803173771,1.11002359590355
21,1.14018681165047,1.12733305387406
22,1.16348639458281,1.18094750848987
23,1.1579423398628,1.1700991455325
24,1.20645637147957,1.18015589436325
25,1.22486022305104,1.174016803586
26,1.23858942671193,1.19600428305186
27,1.270616670119,1.23256978410964
28,1.30494777086209,1.2516944664973
29,1.34214345889085,1.29952191283548
30,1.34565215200045,1.32628277184818
1,0.878331231555666,1.11909728714606
2,0.945877274788009,0.957024123092559
3,0.927323887408775,0.837823258246966
4,0.90207363700587,0.880250565152689
5,0.868273227454853,0.924727591615141
6,0.871958032323931,0.862625233463347
7,0.877655216454869,0.887005513229257
8,0.904586101584012,0.903970004049133
9,0.90209245121983,0.916068163726047
10,0.965167254646333,0.904939497030458
11,0.979173319066133,0.923288049510494
12,0.980372800879964,0.917801973759581
13,0.99171205278578,0.963291974148004
14,1.00979337341552,0.970671906369404
15,1.01797591454725,1.01403310319332
16,1.05040165225325,0.998198265896332
17,1.0808396815095,1.01518709254227
18,1.07635725280905,1.02549466929654
19,1.09552637805562,1.05209113014394
20,1.11313791600812,1.08356750949421
21,1.13277270799886,1.1044639762271
22,1.13145712377407,1.10679349456437
23,1.14634637195507,1.14344439614495
24,1.1563677393912,1.15754902584328
25,1.18203607588273,1.18171353879018
26,1.21772629938956,1.19535069190356
27,1.22750842749313,1.21055010415895
28,1.23405893394757,1.20934905287645
29,1.25568326809411,1.22146723578527
30,1.27405854216761,1.22936670594688
1,0.916081239910014,0.73635853172004
2,1.082263729449,0.945849765255155
3,1.11954668418703,1.09229178765041
4,1.25359281887155,1.04697714731972
5,1.12765434454166,1.04200701986911
6,1.03532352254977,1.01008683973847
7,0.967895289854595,0.980746335362139
8,0.94541141306392,0.996671183292143
9,0.969134165870658,0.987684646974702
10,0.97010903695971,1.02643505383485
11,1.01376455206335,1.0439915486454
12,1.05070386282735,1.04901085142956
13,1.0798408936392,1.0451251841395
14,1.07431937491753,1.03655701690064
15,1.07524631339155,1.08415292757473
16,1.11603382827434,1.0861156243884
17,1.12680881170602,1.08920717173019
18,1.13541397936571,1.11589730339594
19,1.11687358896928,1.11806094659201
20,1.12095517890474,1.11850636380358
21,1.15338060060458,1.13314787837518
22,1.17109117893523,1.14112315152996
23,1.20090022472862,1.17698258375855
24,1.22840183639419,1.21631128661037
25,1.23683810554359,1.2194093757049
26,1.24578979346619,1.23111539061065
27,1.25799001203876,1.25537949330633
28,1.2868209020425,1.27914848094078
29,1.33128983105125,1.30476713354552
30,1.37021147263988,1.32980059469176
1,0.784659223748145,1.03886497789199
2,0.864246206257465,0.910272538855459
3,1.04805183185901,0.885993254784927
4,1.03390450552669,0.988151137982505
5,0.984086018431784,0.997317349188695
6,0.958756486420292,1.09408485072206
7,0.938406965471866,1.0520227645
8,0.956792999347321,1.03545239716199
9,0.975103076302911,1.00754822408679
10,1.02224684129566,1.00608770259428
11,1.048950918318,1.01954694111957
12,1.04680417051329,1.01847569155583
13,1.0305402320362,1.0058688382631
14,1.06186560949351,1.05746531950297
15,1.0872652353348,1.05007655759857
16,1.09859249169762,1.06398417131163
17,1.09884683487196,1.05725285028156
18,1.09182040717491,1.0882381354923
19,1.11610320398685,1.10101569694002
20,1.13110886856056,1.13012456338663
21,1.15099136228609,1.15118315638765
22,1.16454322091335,1.16507412358771
23,1.1734412625181,1.18323152658493
24,1.16504605592423,1.17570516594156
25,1.18613419706564,1.18336235695059
26,1.20880885681675,1.18297360828097
27,1.23458594253017,1.23529315103687
28,1.25040816836198,1.24889726492432
29,1.28859181229956,1.24485291344956
30,1.31050425206511,1.26670760547615
1,0.974007554370818,0.961444596226057
2,0.922200595217009,1.10585762264559
3,0.93534866551224,1.0544129464221
4,1.01912330563539,1.06312578556681
5,1.1384824252012,1.01888636330972
6,1.10610726032397,1.01667726163429
7,1.06190040324983,1.02963222612907
8,1.0378844162825,1.02609575456468
9,1.03734727757248,1.02462422467556
10,1.04064652440299,1.04634004041068
11,1.05212209611078,1.06463183268682
12,1.06863269722555,1.07365453783085
13,1.03646015407028,1.06310889969503
14,1.10693960119103,1.04631789064397
15,1.11588187625788,1.10080578615012
16,1.13301408923877,1.10280050290864
17,1.1277843455392,1.11259828822094
18,1.12651268219479,1.1375367699168
19,1.1120693139463,1.11879897341475
20,1.09478868372384,1.10621002291443
21,1.12095478555251,1.09531291985371
22,1.13374403374727,1.11736137885886
23,1.15885679318305,1.13603132927165
24,1.17569367281064,1.143560546858
25,1.17001311346545,1.14331727991669
26,1.18119439518006,1.17778166593705
27,1.18583130190464,1.19766185067881
28,1.19925718494012,1.2219392153541
29,1.25170396883874,1.25868100476234
30,1.30680011783999,1.26504884774163
1,1.36946618504309,1.16216852790435
2,1.01562660101188,1.09076977194246
3,0.903605525121913,0.977827471304616
4,0.91167620066802,0.988662486905874
5,0.963977251159697,0.988521489838737
6,1.0168853076598,0.962776258807123
7,1.03068374136471,0.962086825743019
8,1.05757238034598,0.983092878893501
9,1.08116688869255,1.0189779145148
10,1.08840554613852,1.08963606313234
11,1.09659956611735,1.07983816177343
12,1.15002011733664,1.08620862688853
13,1.16432165544609,1.12032975192625
14,1.13920966223731,1.13589334146213
15,1.1380581858903,1.1095271342011
16,1.12305932469423,1.11650171412212
17,1.15367145424113,1.10864925308473
18,1.17304349247612,1.10826905046766
19,1.19935722802863,1.13738296154788
20,1.1949122413364,1.13592556039376
21,1.19123042035465,1.1622690482589
22,1.19345603086923,1.15761472616755
23,1.19005122655141,1.17704517768417
24,1.22558798903355,1.18963894593076
25,1.24766313659933,1.2080294564295
26,1.26365287558426,1.23163604668843
27,1.27376446259191,1.25869796443628
28,1.29788841160075,1.25371572470538
29,1.31743889635537,1.27992228136411
30,1.3430664533846,1.32646137015248
1,0.807344435541376,0.936129183567672
2,0.949681636451369,0.893179063409169
3,1.01015353203854,0.962769943150578
4,0.901874626128976,0.846884131904144
5,0.857066260159291,0.81547764925483
6,0.839014213650731,0.840854831581584
7,0.861928322949049,0.902918797762672
8,0.906984275796903,0.920901753082338
9,0.91760327110611,0.927822678642186
10,0.941461024485243,0.93480133286792
11,0.938367700464731,0.957574137934434
12,0.927975776009151,0.97213337121081
13,0.934809025804336,0.978976713550046
14,0.955843962685365,0.981535583963638
15,0.974497396249737,0.985699959863024
16,0.983309864062256,0.983252248004118
17,1.00541104701229,1.00385618207289
18,1.02911958101093,1.01914240344109
19,1.03372840931273,1.02375223448847
20,1.05528698047973,1.03288297388624
21,1.05400054898969,1.04391122452568
22,1.03919580577016,1.03859611312351
23,1.05689763618583,1.07820320894699
24,1.06474627191505,1.10202444433767
25,1.09524313683116,1.0995982140829
26,1.12568663281004,1.10522916846286
27,1.1589699506141,1.12967925666131
28,1.17773699514598,1.1443493304505
29,1.19325971874214,1.16324358998161
30,1.20235415604751,1.19629972211625
1,1.14138529779762,1.30328690052001
2,1.23074630071676,1.15215446558113
3,1.25223466876276,1.29671415445623
4,1.29931543136425,1.32124775049608
5,1.26085976071629,1.27261181503256
6,1.21453518878661,1.1840452764545
7,1.20987562181411,1.21380533512045
8,1.19374978774646,1.14420407277234
9,1.13909742964356,1.12424478569392
10,1.1380445375838,1.09471077146378
11,1.1643214607222,1.13327488077392
12,1.14628865206121,1.14054470113503
13,1.15008451852351,1.11351611529204
14,1.14030426740178,1.10728596420845
15,1.12822930920523,1.12652414917758
16,1.12678296578241,1.11444641100158
17,1.15828108129002,1.10836788319189
18,1.15898748384708,1.12319980283232
19,1.15592972358542,1.14163888487754
20,1.16730912045333,1.14232470863712
21,1.17406729489152,1.18047522944101
22,1.18990996296038,1.16713348317545
23,1.19214345489331,1.1720683196891
24,1.18586992132411,1.17268847393627
25,1.20811046177703,1.17247301508087
26,1.21070067864657,1.17757176752221
27,1.24940761549126,1.18986429371526
28,1.26535329282981,1.23418007399081
29,1.30001742370842,1.251318533366
30,1.33230704540225,1.3015180821143
1,1.17723029827841,1.44299839954436
2,1.26237359970185,1.15751945267974
3,1.10597110647634,1.12214341720284
4,1.04354697031956,1.08762778838791
5,1.0353421804605,1.00566162599106
6,1.05013123046858,0.969661850791163
7,1.03590903697858,0.950646530732747
8,1.02090813199523,1.04636512825863
9,0.976278995546412,1.02677805352947
10,1.02103573792649,1.01674394765264
11,1.01635587310356,1.05343956400914
12,1.0348770739054,1.04584875078558
13,1.03650611853115,1.02470679839077
14,1.06276290584324,1.05001570294358
15,1.10117437206191,1.0595576236931
16,1.13005801954578,1.04516996404607
17,1.13189458796791,1.0689272609804
18,1.1462122554399,1.12472861122643
19,1.16265272819086,1.13225276521881
20,1.16372114021331,1.12844800677099
21,1.14875562833502,1.12260227197126
22,1.14991167270389,1.11222082909493
23,1.15305887512674,1.12378997552848
24,1.15724830296546,1.12617863791976
25,1.15594311407464,1.12630005671405
26,1.16566846120217,1.15222690268524
27,1.15747904865819,1.18859142832328
28,1.20645216313676,1.22445843307406
29,1.23789484724117,1.2469554587372
30,1.28525884044314,1.27090533897485
1,1.00304603445114,0.877496778728278
2,1.0230085566021,0.971795404973297
3,0.976975620679706,0.96178969107044
4,0.969561422181362,0.998371191389924
5,0.935949289978617,1.01784066339034
6,0.980421977003464,1.00463182636356
7,0.999253702067047,1.05360436638602
8,1.00886107333321,1.04288691623786
9,0.994984749849721,1.05444439612242
10,1.03133530840909,1.06881797534324
11,1.03557105391069,1.08048934102639
12,1.04349218235604,1.07659976577374
13,1.06032552811705,1.06509750419494
14,1.05005748051193,1.02690915971603
15,1.05432624025083,1.02091784616276
16,1.05947506258366,1.04562303187808
17,1.06857112528941,1.06057923599186
18,1.0683757810955,1.059211150713
19,1.08665122152985,1.06279375815589
20,1.11790435882012,1.08159568262774
21,1.11059295905299,1.09926633462031
22,1.14515524434697,1.10926995333354
23,1.14575116294823,1.11993365284805
24,1.14349542115652,1.16651150769306
25,1.19641839256998,1.18916477653892
26,1.22207400651762,1.2023074774708
27,1.23780119962976,1.21327491929792
28,1.26566460015424,1.24550143681714
29,1.26713315882153,1.24089350078546
30,1.27545179467149,1.24645500428956
1,0.81761217179885,0.867575326163032
2,0.867993636323166,0.815611097769222
3,1.05458119686095,0.999384413927519
4,1.09719328521954,1.0653770295281
5,1.12213127130297,1.05038979333088
6,1.17778442428049,1.15249299914542
7,1.16739396324141,1.08775249098716
8,1.15461593622953,1.09367769115734
9,1.11510893375789,1.08533797116455
10,1.09401830704261,1.05312797689519
11,1.07096824647498,1.07009003636009
12,1.04968598353498,1.08541110921338
13,1.08266527793429,1.07495593317515
14,1.06597570617986,1.07163193158741
15,1.05323371001944,1.07300068637691
16,1.07783591645131,1.07666859994491
17,1.0420396614118,1.06106529558247
18,1.04314035240664,1.04291330705336
19,1.06109677480306,1.05122841195142
20,1.07919456404294,1.06659957374548
21,1.09559435726605,1.07817056007939
22,1.08749927696343,1.08380451320397
23,1.09624384323121,1.07559648929737
24,1.11687001054012,1.1028693109829
25,1.13224990426693,1.10458155609934
26,1.1521739737612,1.13628173968594
27,1.18093575906316,1.15204471866058
28,1.19636092397116,1.19597156181103
29,1.25220329716623,1.23329587619141
30,1.29105901800037,1.2642114380644
1,0.606103213822118,0.636996951362876
2,0.805458849532863,0.751132816265553
3,0.902041281107918,0.794962262956724
4,0.918007462517505,0.811981836900481
5,0.909754525762863,0.924101090912437
6,0.973029009096428,0.882122479962202
7,0.966274157755766,0.914951242247099
8,0.9311426291241,0.92641474482948
9,0.926240015905251,0.995485893291332
10,0.940000039957872,0.985642315193176
11,0.963934151730129,0.963798935668915
12,0.987754123631575,0.970534240400574
13,1.03589196405548,0.980282706019702
14,1.06320716813491,1.02429251078003
15,1.05627990791837,1.04908802453988
16,1.05405616863645,1.06134426933732
17,1.0925749016997,1.07640399856269
18,1.09048555697581,1.11898469938696
19,1.11334215897925,1.12279735948423
20,1.12460898443564,1.12192379288688
21,1.14138606307596,1.13916033290038
22,1.14528196138622,1.14665332733347
23,1.16748425759562,1.14969248345875
24,1.19623820208735,1.15831477803122
25,1.22091156633806,1.16353205123443
26,1.23144426272193,1.16964262848511
27,1.26376795983471,1.18224180823461
28,1.25385014094795,1.22314913089113
29,1.29426730284135,1.22070134208013
30,1.31199218652037,1.27736628190686
1,1.0328685757414,0.868177665061975
2,1.1667622055991,1.02988435443226
3,1.1096188563325,1.27385541309592
4,1.13605888779282,1.22802953677464
5,1.21741990009117,1.26909646230989
6,1.2286940018875,1.20948131124712
7,1.21393914726596,1.1846967429005
8,1.19770169257852,1.17081402726373
9,1.15075999890819,1.14527462474545
10,1.15963928557431,1.15594795197129
11,1.15357511133679,1.13466337161138
12,1.15218615855829,1.12253745996898
13,1.17211986897943,1.12758263964323
14,1.14990412139971,1.13468083744975
15,1.14373128325675,1.13313022341348
16,1.15361238145684,1.13445841714402
17,1.16683578061252,1.12383641530017
18,1.17254576484108,1.12875004170242
19,1.16750517655892,1.12338313131404
20,1.16449952412986,1.12305955099589
21,1.14985119385528,1.14616870760615
22,1.16271906551587,1.15412510571009
23,1.15110042940015,1.16512298944881
24,1.17302918777415,1.16953822532194
25,1.20059477645932,1.20195762626469
26,1.21109870821027,1.19392712903764
27,1.22618211893597,1.20465725784578
28,1.23072279344958,1.21210935018214
29,1.26368398434564,1.23551066956423
30,1.28273372956201,1.26168003846199
1,1.02681766407192,1.12429195641899
2,1.18746746545624,1.13041301985773
3,1.14381552506189,1.15805105692039
4,1.06481962632443,1.14367850718376
