"k_H","DH1","DH2","Hill"
40,1.0485796239724,1.12836017607369,1.08047914430266
48,1.00142479235249,1.00519918245513,1.10961003171472
56,0.996223637822336,1.11963330303173,1.01687124571886
64,1.18529773275893,0.991618792101111,1.01328553967757
72,1.06442892243715,0.993309821057628,0.977876639484896
80,1.11214567234573,1.03346554580828,0.996343296471057
88,1.07623990348819,1.07241173259023,1.08121523242188
96,1.17665223463378,1.06161608185684,1.08631305483095
104,1.13065554766644,1.13012523241927,1.07909491239513
112,1.10380791946991,1.11873136214729,1.1208474484496
120,1.11162651427692,1.13247351000041,1.11827741549047
128,1.15829585114169,1.10687922364853,1.12155090665996
136,1.13121769556841,1.12212381380936,1.105927674921
144,1.04828624990659,1.19160838895026,1.0855237003283
152,1.16805803773863,1.12123303836654,1.09283004665236
160,1.08367726144675,1.20422535383053,1.10889108662073
168,1.14846598232321,1.15026264295423,1.11091352306272
176,1.12219415776807,1.15542479330295,1.12616270890061
184,1.15362236359189,1.12852148965748,1.1316550568099
192,1.12358851808571,1.09570624259016,1.13687769243439
200,1.13004992243117,1.07126395576987,1.12455900143694
208,1.07494311569729,1.07932238522392,1.11546532602191
216,1.10072664950194,1.08868739621104,1.12242960515752
224,1.14382042192931,1.12021187723904,1.12399472817843
232,1.13763142955551,1.12005990836141,1.12609008217146
240,1.15131404282841,1.09219540803797,1.12638254423531
248,1.1118412460253,1.05570981504161,1.1255386063533
256,1.1764287509815,1.08877018480681,1.12099180316366
264,1.12951578884949,1.12049293828798,1.11206026998335
272,1.15953091578278,1.08470497772385,1.11358924751935
280,1.10760532005396,1.09357034368625,1.13447328362148
288,1.16044918878512,1.0981973213368,1.12469000272843
296,1.16242050991803,1.0892770669166,1.11738742012781
304,1.21090800228657,1.10150499020289,1.11878267772429
312,1.1875088619558,1.08523878509244,1.09769427949347
320,1.19408895980505,1.14228431303215,1.10126296570241
328,1.16577613242418,1.14383146391836,1.10147482393407
336,1.21406972456752,1.15184394669952,1.09941030634604
344,1.30758651224766,1.14429487443823,1.0975565974992
352,1.25684707757987,1.14509530932989,1.09366597430264
360,1.25674499319102,1.15176275181229,1.10687669828463
368,1.28672005549286,1.13864654557037,1.1045614420969
376,1.2765449328544,1.15898916558083,1.12460645701788
384,1.2544085570642,1.16025720318382,1.13686301166898
392,1.21839481748989,1.16258515315081,1.13583974383929
400,1.27057487442986,1.1579126420798,1.14999713355439
40,1.05649906391863,1.04356474940324,0.981108095072689
48,0.96486573773892,1.01359018514474,1.03180873640926
56,1.0528806408494,0.96878531496664,1.05555034444593
64,1.02279738300374,0.947047249409986,1.02076268986194
72,1.10806450686279,1.06313841267682,1.03529011235398
80,1.0747305238779,1.09565176020315,1.09168313923076
88,1.06291728409613,1.03043678107622,1.1455531491927
96,1.09317391124879,1.0517702443877,1.09949028333144
104,1.05046943128865,1.02829798553141,1.06360249960921
112,1.07908571247552,1.03859677095262,1.07117260867334
120,1.05732660468932,1.05663519882335,1.05855934331472
128,1.10772746666462,1.04505195628631,1.04416112382941
136,1.08070687264149,1.02215035079931,1.04726206016204
144,1.14900242069983,1.02484333994826,1.04382950500942
152,1.09227577629596,1.0261383492393,1.04838979920335
160,1.08854651763127,1.05430671521192,1.0463165046828
168,1.0248888511151,0.988086675003091,1.04076183393577
176,1.16152515988685,1.05511624288087,1.02081037093805
184,1.14405095161118,1.08354161989835,1.01503288555809
192,1.15141637015125,1.06193254926626,1.00724569703816
200,1.10697032973313,1.08563927915104,1.02505846022439
208,1.11939603824817,1.06774113412497,1.04945698181871
216,1.10053175470301,1.07397422578488,1.03077746038102
224,1.08081088321285,1.0358643350868,1.0146565991074
232,1.11301035129497,1.07839307682991,1.01356174447357
240,1.12566739316902,1.07387951077694,1.01807446835433
