"k_seq","DH","MLE"
10,0.937003281079992,0.620507315228213
12,0.90504171714993,1.05765295795763
14,0.897465186975589,0.826217009148642
16,0.874360944544627,0.803795248124446
18,0.842205820038657,0.88592797579803
20,1.0485796239724,0.986292266601454
22,1.16257381595938,0.895568987359851
24,0.991883098486352,1.0822074223153
26,1.10770473979144,1.09901272633311
28,1.0737621670805,1.09890001347218
30,1.07151037967277,0.997840683268957
32,1.16233668955371,1.0519713606142
34,1.07338542497818,1.03591513903039
36,1.13364146876556,0.996406604498573
38,1.13912459629336,1.11555037496181
40,1.11214567234573,1.03608914242274
42,1.12130640370019,1.0954818948212
44,1.25573622286998,1.0291455854346
46,1.21387307889963,1.04617521361148
48,1.18104695958644,1.084324989385
50,1.15197416236123,1.06093422484205
52,1.17852051706652,0.999041934997431
54,1.13865307014413,1.12034990232146
56,1.15241820141733,0.979247166683712
58,1.14931038109367,0.964137123181623
60,1.17875133447689,1.0898190758039
62,1.1553795826859,1.06976069842901
64,1.14729927050897,1.06980242885728
66,1.12629708137101,1.05110981310688
68,1.12244639450083,1.04565652984181
70,1.12082418460522,1.03441991228926
72,1.12050105066288,1.17682994191663
74,1.11815882929824,1.16558160765028
76,1.11676985680775,1.14944672547353
78,1.15540170280884,1.14151597728597
80,1.15524823879369,1.1323131153535
82,1.1433163952645,1.11635948610394
84,1.08043744716522,1.04786078649801
86,1.09039226377649,1.05621606688678
88,1.08931835444309,1.05386837744396
90,1.08063465700346,1.04201919684454
92,1.13774861947823,1.12958943477492
94,1.15582033351026,1.13715437124526
96,1.15193879205186,1.1310065462704
98,1.14220916518227,1.11716331461725
100,1.13004992243117,1.10669231172596
102,1.09081476146053,1.07194861177625
104,1.09381416463712,1.0929069334181
106,1.08552747681852,1.08144979384511
108,1.08442679465187,1.078596882803
110,1.07848214446279,1.07010600958759
112,1.10649406451076,1.07498621975173
114,1.10701633569783,1.06788203785477
116,1.09601176063061,1.06706597249354
118,1.1075919889632,1.07583148297434
120,1.11134850737814,1.07319309877873
122,1.11147080819026,1.06305799203232
124,1.10396265387274,1.05722534294141
126,1.16682692454337,1.04975614348304
128,1.17649836724931,1.0566449304264
130,1.16753701054722,1.0771549166005
132,1.165098598804,1.0777545964196
134,1.17239782138254,1.08633983116075
136,1.17113571518517,1.07729934085863
138,1.16922356423167,1.07527403464463
140,1.16730077280973,1.06794119849815
142,1.16718126166135,1.06517547709849
144,1.12240652099057,1.10479476462375
146,1.13459985600164,1.11279403803568
148,1.14311327008224,1.11511169974498
150,1.15246031635729,1.10584007940327
152,1.15085302603714,1.10880721606896
154,1.15016175072663,1.10322984914657
156,1.15800130610494,1.10997841804295
158,1.15556344534363,1.1051183670182
160,1.15869907159871,1.10496369834463
162,1.15569697370558,1.09911092317392
164,1.16000014636552,1.09110369154325
166,1.15822368490561,1.08771306525621
168,1.25869281875876,1.0018708076826
170,1.26453737230889,1.00281632789533
172,1.2605031626819,1.01126870538166
174,1.26495755093743,1.01532715277618
176,1.27056510681526,1.01729589044942
178,1.27731105888935,1.01907158388351
180,1.27667737721305,1.01346652658222
182,1.2666231405507,1.04660795115782
184,1.26670294087164,1.04459873126414
186,1.27912972731185,1.05277559575562
188,1.27491122035548,1.04794322590127
190,1.27643823534608,1.04275986407847
192,1.28167964980616,1.04265014917003
194,1.27375063610053,1.03720971493883
196,1.27860686061786,1.03249731746956
198,1.27344213387994,1.02988181918315
200,1.27057487442986,1.02441946747641
10,1.1140245498597,0.598664090854573
12,1.00057536617065,0.707385999584982
14,1.11963476849959,0.844968234281092
16,1.18982780537702,0.904944909842154
18,0.993377749150863,0.937060619044982
20,1.05779142301652,0.866712855605616
22,1.02311347389,0.970414442363537
24,0.985283681628255,1.03070798361429
26,0.907912949771641,1.1185236831466
28,1.02946232801456,1.08014105216037
30,1.0473509845888,1.02982164946947
32,1.04241536385427,1.02343824288055
34,1.07227711898633,1.0402213466829
36,1.04045309238236,1.08858661854862
38,0.997891773861399,0.999542486373526
40,1.07257349394737,1.03481476534231
42,1.00797027314376,1.04959434585355
44,1.08792230414817,0.958354938829949
46,1.00788681500698,1.03645609953504
48,1.07130387139274,1.07698014808763
50,1.08576914872796,1.08985511986241
52,1.1167242553255,0.95815081009535
54,0.971758797818985,1.0070964759775
56,1.02306985191031,1.00653719488725
58,1.01986965925027,1.00143240241515
60,1.08039738104674,0.967772977464431
62,1.06955967471576,0.964034199619302
64,1.00760889823594,1.01467525844126
66,0.999633734192022,1.0108311289268
68,0.993953700744837,1.001105744993
70,0.994815824989563,1.00159510140453
72,1.04979305893078,0.994758937108325
74,1.04259854208215,0.98363774481365
76,1.034751961627,0.984004649734654
78,1.10080913087848,0.959257031614851
80,1.09287880099479,0.9494690221143
82,1.08874379086607,0.949722812940418
84,1.10159500449474,0.928089871298676
86,1.09778715094056,0.937850992915504
88,1.0873471809785,0.930366620409879
90,1.07894603394614,0.928733750892513
92,1.02557960754021,1.02511739498957
94,1.01454918198016,1.02840463831392
96,1.00973765601247,1.02166719010643
98,1.01160792653746,1.02498967639981
