"d","DH","oracle"
1,0.900440561450615,1.13399358841004
2,0.962384583684753,0.992833674693582
3,1.08397080550901,0.991808274271612
4,1.0448830559566,1.05671211627418
5,1.1297827444807,1.11633048817162
6,1.079675056894,1.14379657556875
7,1.12208508090724,1.15353175760501
8,1.18622338385732,1.15141669783574
9,1.18888958416525,1.1386370613483
10,1.16151702694269,1.14362940299202
11,1.14206460346923,1.1427257571405
12,1.15285395662926,1.14531216225247
13,1.14618848474202,1.14855780154017
14,1.14922851162555,1.15110245541528
15,1.13548216008299,1.13813052627339
16,1.142580193137,1.13443863654422
17,1.1269132934226,1.13543073790235
18,1.11444008072139,1.14564942577914
19,1.1132458721883,1.13521016708946
20,1.12013888782747,1.14573921065328
21,1.13542754742599,1.15261485239069
22,1.14772042671053,1.16029261276406
23,1.16769719874572,1.14708962221665
24,1.15850239725293,1.15855373412323
25,1.15762188577789,1.15240925176183
26,1.16411331725019,1.15769016084354
27,1.17594784867566,1.15325263761256
28,1.18547109899795,1.20451734622278
29,1.19736801296594,1.23370159125332
30,1.22595579401335,1.23993346435236
1,0.521886365964354,0.663042013599307
2,0.865585655700924,0.850213825844754
3,0.877287595286519,0.786489749816149
4,0.922698349390284,0.825309055427913
5,0.871846315855481,0.80311618494518
6,0.890984344661008,0.92316189821886
7,0.982981921258603,0.950346703669416
8,0.968277135290751,0.944774753947763
9,1.02348744248529,0.96615040475692
10,1.01504139467751,0.964543261913922
11,1.0106087126538,0.977160054633342
12,1.04010736934836,1.01668935109726
13,1.09009505259831,1.01094904815686
14,1.09435565095681,1.03338670873161
15,1.08091524831455,1.0894521591587
16,1.07701466446416,1.07917710858186
17,1.10278413298805,1.08260892973726
18,1.09386902468852,1.12556830437914
19,1.1431951382391,1.15359496048968
20,1.14497280324053,1.16860394852408
21,1.14042419840201,1.16540780475686
22,1.16646865500924,1.16329552031082
23,1.1908396488711,1.16218306058328
24,1.19207503617933,1.1571526076123
25,1.18740654501505,1.19280580479207
26,1.19347080424388,1.18712917912334
27,1.20600885801255,1.19199287543838
28,1.21213747106617,1.22156311129769
29,1.23681440260604,1.26154185428001
30,1.26739825716399,1.28157311003357
1,0.681780799893771,0.903931784708298
2,0.767763236525967,0.937021750278036
3,0.912130303918723,0.985847336190231
4,0.940486082885252,0.964892384193826
5,0.988514014108192,1.03601882140022
6,0.951424126283961,1.04376457904615
7,0.970716408567123,1.04507537817156
8,0.987991507984072,1.0170863385377
9,0.987275574434018,1.0184236643545
10,1.03381217471668,1.0780674028398
11,1.05081697035996,1.07360847964175
12,1.07937799986485,1.07283830804611
13,1.08800640059009,1.10660960021347
14,1.14651914672441,1.12618803183722
15,1.15314046435813,1.13778255723145
16,1.15793504397947,1.15253202666411
17,1.14729928576397,1.15821279822642
18,1.16705390219912,1.18586449808739
19,1.18760000673496,1.18941098362624
20,1.20844987406636,1.20275995841182
21,1.2236024426142,1.17941681062724
22,1.22120164871357,1.18766308162197
23,1.2111521353281,1.19680131416025
24,1.204643702329,1.21032067105787
25,1.18723245226597,1.21024548928131
26,1.18337001152385,1.21079420969456
27,1.21665008700262,1.22338587472216
28,1.22634422244234,1.21570576238217
29,1.23756046239613,1.21501417257695
30,1.25324497271423,1.22650605806903
1,0.912638802787408,0.772933706331419
2,0.968354522298422,1.00623024476189
3,1.00228660012711,0.989672750088267
4,0.959427994683511,1.06798047196181
5,0.976248002735097,1.01088075720648
6,1.01962885902538,1.05954697727383
7,0.985650284737295,1.08054988230125
8,1.03352550457584,1.0748450586486
9,1.02830919919962,1.08251322920188
10,1.01267606704576,1.05884321360353
11,1.03034850018682,1.07467711963575
12,1.02877958919879,1.0702288437434
13,1.01337772440906,1.08855498644962
14,1.06429048223602,1.07745135176172
15,1.04724709846796,1.0650401471092
16,1.02907815036078,1.05408749832883
17,1.03644625751741,1.05530992328624
18,1.04156192199817,1.0446280220105
19,1.05977081282062,1.06374416857401
20,1.08815015278176,1.09532602624322
21,1.10170664043488,1.10156128843119
22,1.11245977157073,1.11204288787819
23,1.14068605826487,1.11765430738413
24,1.14900959214584,1.13593867764751
25,1.15833622332188,1.15871641290914
26,1.17606776081733,1.17116826095303
