"k_H","DH1","DH2","Hill"
40,0.962384583684753,0.916463034097965,0.992833674693582
48,0.921730520495783,0.917910263408634,1.06099719976351
56,1.14322982021164,1.01535337609613,1.0094820145116
64,1.10655775196263,0.957828236586147,0.972719752128073
72,1.12385153681983,1.0631558317215,0.977344252418544
80,1.08948741762782,0.997299985805898,1.05671211627418
88,1.05836912650036,0.995328212697044,1.09243340915041
96,0.987632085759327,1.07959841574817,1.12547466968494
104,1.04412453872725,1.13491170232923,1.14797898212627
112,0.964281534381675,1.05208262055292,1.12538219685897
120,1.09415038935246,1.11895789897067,1.14379657556875
128,1.1019263390255,1.05851906404426,1.13866176602105
136,1.06609655789425,1.14010200899943,1.13955997866755
144,1.08196722464118,1.20762341555602,1.13965381049237
152,1.12431608317988,1.15321350915769,1.11858448481844
160,1.07155582807252,1.18622338385732,1.15141669783574
168,1.14569512305729,1.17358102246961,1.14418758202092
176,1.11767184083105,1.20120689015544,1.14897989856011
184,1.17269327821785,1.18844725088316,1.1331082623477
192,1.10942928986378,1.19218990392772,1.13239007869334
200,1.12197355210689,1.15447618386972,1.14362940299202
208,1.12322453803761,1.18202593032123,1.126362378151
216,1.13546389354813,1.16551613462106,1.12863971432883
224,1.11207665307879,1.15945137512664,1.14333000053427
232,1.20526321602689,1.15523770367991,1.13585388686177
240,1.1572084727446,1.14082059619531,1.14531216225247
248,1.14935435249375,1.13831859205387,1.14536885338396
256,1.19273224229009,1.13873923576933,1.13555765764071
264,1.20725041250678,1.12635770145572,1.14306519310109
272,1.11356222935185,1.14706631989545,1.16050959232449
280,1.19442473662137,1.13181512382001,1.15110245541528
288,1.19496524707011,1.14662395087656,1.14373919417775
296,1.23163240896917,1.14306031767467,1.13524487839897
304,1.21302294010827,1.1540552204262,1.13301193904229
312,1.16688015947431,1.14495487242338,1.14062630660468
320,1.14315765458412,1.14308454529568,1.13443863654422
328,1.16181834250934,1.10210758244294,1.13658062267748
336,1.17667806554441,1.12507388805852,1.12729342294066
344,1.18208067685605,1.12869292956298,1.1357185049652
352,1.22963030154206,1.13459800381107,1.13922433050203
360,1.20376084453068,1.1152563212435,1.14564942577914
368,1.19843577326179,1.1511703983483,1.13600370039242
376,1.1721470493756,1.13611191878885,1.13987859366842
384,1.17492827427095,1.14345894114792,1.1350736426592
392,1.20786688843378,1.18010731027916,1.14732667430963
400,1.168050074134,1.17227902449687,1.14573921065328
40,0.865585655700924,0.794449522183447,0.850213825844754
48,0.770866682541167,0.822885272093534,0.832749443382654
56,0.861221768885071,0.818265191901848,0.824522286872817
64,0.857317907143722,0.883549617237024,0.819083508595448
72,0.925485996004346,0.851713798783004,0.835195081958921
80,0.883130623509702,0.816614182689064,0.825309055427913
88,0.906234231764937,0.80702644735924,0.815954007764288
96,0.964015997513762,0.860587301088941,0.78842563073241
104,0.987669248073623,0.920378441990896,0.804710310561823
112,0.971575239715835,0.885032439960048,0.904319589638541
120,0.987462686378403,0.869372194999154,0.92316189821886
128,0.882743520678298,0.976798795090322,0.906009908438546
136,1.01453903404205,0.933349238098743,0.920899780969408
144,0.977174017791346,0.919856755175902,0.941188743951896
152,1.04537822757849,0.923902694765691,0.930984430960108
160,1.02371943669947,0.968277135290751,0.944774753947763
168,0.965833900915418,0.913171818044837,0.961018757890515
176,1.08119032986509,0.969927162551584,0.958450209367132
184,1.03649417797679,0.940507139459782,0.961987864118333
192,1.00971300053068,0.975795618844865,0.943573094104955
200,1.03742826679992,1.02581319729301,0.964543261913922
208,1.04875194122718,0.972234304144788,0.959386747379471
216,1.05209217426074,0.990322466598876,0.957877848438099
224,1.02164685846654,1.01706568876714,0.995920586236466
232,1.11888658478321,1.0066593424033,0.989149839909301
240,1.02209302514706,1.06932215716017,1.01668935109726
248,1.1089300879584,0.99805269306323,1.00797218569905
256,1.03937971599345,1.06323128915619,1.00557343749804
264,1.08455559078764,1.06539837081442,1.00862126366695
272,1.09416528130979,1.07508081509946,1.02411316353264
280,1.08819715918558,1.08431617089903,1.03338670873161
288,1.18035181457685,1.0529646515659,1.04564406995994
296,1.16004477335982,1.05990942529245,1.07991242022878
304,1.15453015367352,1.0897318445667,1.08494982586369
312,1.20244718879832,1.07002415845035,1.08320524842509
320,1.11309339940074,1.08585269791067,1.07917710858186
328,1.10104974855032,1.10782658492261,1.07020164517744
336,1.22063048728224,1.11442418198429,1.08017160695943
344,1.21844424479043,1.07651831904206,1.08145482302222
352,1.24379241374161,1.09737633678363,1.10091436340767
360,1.21314925182011,1.12476269415551,1.12556830437914
368,1.27247321688358,1.10468732357642,1.15655075726088
376,1.21198575466846,1.11849295708486,1.15652644682469
384,1.20824560228341,1.1495168354613,1.1699710343997
392,1.27370663460506,1.18939343691625,1.16760983396973
400,1.18744341767671,1.14623055095911,1.16860394852408
40,0.767763236525967,0.940700713795731,0.937021750278036
48,0.853898755233317,0.971085093466681,0.945585007185982
56,0.909541152141476,1.03239521212507,1.02188605844281
64,0.961290786017832,0.954973258917926,0.991102582695552
72,1.00825374471082,0.961465371333795,0.966961772466379
80,0.989545747961871,1.05308726945018,0.964892384193826
88,0.967185732271242,1.06063362499189,0.967561503511138
96,1.01448148700478,1.00517182045726,1.02668488213727
104,1.04685777171904,1.03977617964036,1.02861881951519
112,0.957990797176689,1.08933535940983,1.00393483845786
120,0.994225378044269,1.00867837920056,1.04376457904615
