"d","DH","oracle"
1,0.776125115679782,1.04456075663996
2,0.828872006290397,0.918380533226989
3,0.85847137783337,0.873640438814073
4,0.860571030622228,0.822210761422297
5,0.895559789863587,0.931862891595995
6,0.916314651710374,0.960392825772004
7,0.881587430774017,0.92890338659502
8,0.914720213974409,0.932295489595391
9,0.926375799376253,0.910677764576519
10,0.962512149461726,0.938993030733854
11,0.955378269627081,0.953653906718803
12,0.941284068163356,0.960057592585243
13,0.931178979208777,0.96376146191879
14,0.932393025761375,0.957393530162647
15,0.948726207518735,0.987285843393223
16,0.941138622482504,0.989959882472451
17,0.937042215187021,0.973069356786283
18,0.944696049907378,0.958612441395285
19,0.94112655463326,0.955795540828899
20,0.938059491932363,0.951687850752016
21,0.936298046705291,0.954471100556893
22,0.947836312055409,0.948243024178392
23,0.941296967463951,0.946613338407994
24,0.935701963863555,0.949967955181339
25,0.937029001349705,0.937564874660634
26,0.933526525867103,0.933574502994197
27,0.953765524060575,0.932822356981031
28,0.966046049004085,0.940131473396792
29,0.960272685012518,0.951293778661014
30,0.975610738652778,0.974096724449155
1,1.364011341863,1.04207241508262
2,1.24014317339507,1.17243325001887
3,1.14287209238376,1.08213410760249
4,1.03406928854969,1.13198445603283
5,1.08078548011153,1.03399694685269
6,1.05275647136926,1.09727371880789
7,1.03719124569362,1.05133636214466
8,1.01125233265847,1.05913352839918
9,0.994449118786564,1.05411951893072
10,0.992126797880833,0.998873775133234
11,1.07967187399935,1.01113177148487
12,1.08681403938627,1.07911070187452
13,1.09694539417075,1.0707631294729
14,1.09483414329844,1.05846709832426
15,1.08132243123178,1.06897631704677
16,1.09528450177156,1.08961951448745
17,1.09425571102953,1.09042015367431
18,1.0909951676347,1.08348665421203
19,1.09145554516987,1.08874064352114
20,1.08800784061455,1.07719313175989
21,1.0760681430083,1.06586616575184
22,1.08416431689376,1.04984271432613
23,1.07311895212275,1.05732029703525
24,1.07205352018601,1.05741715137735
25,1.07918551962543,1.0682177103658
26,1.07103451861089,1.06809345748963
27,1.07052312836177,1.07214333586422
28,1.0682371795677,1.06915801189634
29,1.07677196849412,1.0738552042786
30,1.08542611716951,1.07362963919924
1,0.928684919659268,1.0161691595537
2,0.832921428779013,0.876882917357372
3,0.976685584175816,0.854187938192661
4,1.00038277328794,0.946576672653549
5,0.992507625726353,0.929965146360818
6,0.965896406062244,0.910918383971026
7,0.98490729668594,0.914204818601086
8,0.942594497376629,0.946539849128492
9,1.02308429803102,0.950019329016807
10,0.989766798440561,0.958424667940862
11,0.974174190270302,0.961289033673601
12,0.960201189297661,0.946688237293819
13,0.956450719180689,0.971880081467787
14,0.945716259906032,0.975175326781131
15,0.937435760507374,0.971630308552185
16,0.978285685935413,0.978124015159565
17,0.990180733612648,1.00285531122407
18,0.9843484682636,0.985614689624702
19,0.978832023397287,0.989939593442466
20,0.984689694883952,0.997303848178781
21,0.994636907490959,0.990467157934028
