"k_H","DH1","DH2","Hill"
40,0.828872006290397,0.893981264349148,0.918380533226989
48,0.831216277949045,0.872872581075855,0.879971272309913
56,0.974420603654958,0.785025752262572,0.902102031395361
64,0.918306774431646,0.81988960418322,0.836434845659576
72,0.991073745236784,0.806510010710043,0.847858061034059
80,0.920517991358802,0.789682494045483,0.822210761422297
88,0.925459986822158,0.816027721636877,0.934694791122326
96,0.876533929834143,0.896397000548532,0.921716351996686
104,0.937914000801526,0.95287880695962,0.932456379989611
112,0.994710131391062,0.863278517027659,0.952498102052404
120,1.00060819273163,0.849275544932681,0.960392825772004
128,0.982949399280986,0.873803053534266,0.933837169116364
136,0.955100730379811,0.877191525423631,0.938566866930044
144,0.980039525415075,0.909460715805793,0.929256249705576
152,1.00725397943357,0.890169076370733,0.931669192265032
160,0.95586974244814,0.914720213974409,0.932295489595391
168,0.935646470052729,0.909432945975325,0.926190718520371
176,0.921687099399587,0.927773920434987,0.923437118206802
184,0.946238397965567,0.966052193753061,0.929828425086387
192,0.972693790512572,0.917164970816148,0.923399884633731
200,0.958221182556593,0.941947989065022,0.938993030733854
208,0.951728141333813,0.951480896900341,0.933423106674186
216,0.95493732365017,0.956644885992003,0.947879180386859
224,0.97986167442108,0.958101599131029,0.948150379518157
232,0.92481773573932,0.929979657040796,0.971279283106643
240,0.961676273244426,0.950974255293119,0.960057592585243
248,1.01442848922159,1.00050091140527,0.97935578551003
256,0.96543251124812,0.941431914679787,0.967382451746225
264,0.921275667828603,0.96276169818323,0.957862224811262
272,0.931320214795781,0.908075453149257,0.961698051265742
280,0.985719374813159,0.93886580649532,0.957393530162647
288,0.974055546715124,0.904786441460681,0.966624906591238
296,0.926717144642067,0.938707349390415,0.982392086682056
304,0.965546044282347,0.963562106328051,0.987709228814076
312,0.95866145827004,0.957474280245694,0.995379732087294
320,0.925387686300882,0.944939882479959,0.989959882472451
328,0.939874220001981,0.960097864119557,0.977901594534087
336,0.982301121666621,0.927609821406171,0.974597474848764
344,0.910865208968186,0.904540438298786,0.963477857803962
352,0.939280098651839,0.929053191187311,0.956617956723603
360,0.972328010406943,0.911663990113348,0.958612441395285
368,0.93131521898494,0.888058160900163,0.959475431477471
376,0.917556278347858,0.921581740745205,0.961366525684563
384,0.98006173278901,0.965378951962077,0.951080906549443
392,0.952406424505523,0.941246937617994,0.948119528712127
400,0.94476112773476,0.935487579699908,0.951687850752016
40,1.24014317339507,1.2290880992696,1.17243325001887
48,1.19284810692267,1.16891623712387,1.06508980054851
56,1.13667681768184,1.166218149156,1.09380522527462
64,1.21045171553841,1.23532006582875,1.14370650716715
72,1.18207552119854,1.16236864382174,1.15741991172285
80,1.07649772899019,1.12617621220305,1.13198445603283
88,1.10615887438276,1.18505717397243,1.07815824224282
96,1.08872223193469,1.12799273224402,1.02605539600125
104,1.16660332272763,1.08370398574293,1.04178448488469
112,1.09130311553915,1.09819040920263,1.06110958739082
120,1.1476130421567,1.09616858855875,1.09727371880789
128,1.14142801463766,1.11750184773502,1.07709899810151
136,1.09699835560606,1.0517514983124,1.06925623171845
144,1.12507920611568,1.06522867855848,1.05870370979514
152,1.09694337541601,1.03707438549334,1.04236088626289
160,1.1094142786041,1.01125233265847,1.05913352839918
168,1.11723583798604,1.03826357922897,1.05873984095206
176,1.17247400192031,1.06168117020255,1.06213540038385
184,1.10155897710051,1.03737940514481,1.04078248774758
192,1.11686011029613,1.02126540570519,1.00966988942175
200,1.0642508205895,1.0478723809776,0.998873775133234
208,1.06983987680057,1.06902363052808,0.988274117074617
216,1.12594749027239,1.07471691876276,0.990087408703267
224,1.17441850242702,1.08801091480997,1.04027162537026
232,1.14274461597677,1.05988942308799,1.05294478293625
240,1.07684963712321,1.09066746106732,1.07911070187452
248,1.13770054796417,1.0590358736556,1.06661168491508
256,1.15181636410038,1.08913632559205,1.05641363807752
264,1.15293278555081,1.08630029084783,1.060093437811
272,1.08728430843463,1.09376859753244,1.07223108951941
280,1.07402908832478,1.11783380811056,1.05846709832426
